Group,ID-1,Locus_Tag,Protein1,symbol,name Prot1,Annotation,start,end,strand,Origin,pseudo,ID-2,Locus_tag,Protein2,symbol,name Prot2,Annotation,start,end,strand,Origin,pseudo
1,lcl_NC_009641.1_prot_WP_000977774.1_49,NWMN_RS00250,WP_000977774.1,n.a,tandem_type lipoprotein,n.a,55461,56231,+,NC_009641.1,false
1,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000977781.1_51,NWMN_RS00260,WP_000977781.1,n.a,tandem_type lipoprotein,n.a,57117,57887,+,NC_009641.1,false
2,lcl_NC_009641.1_prot_WP_000667269.1_90,NWMN_RS00465,WP_000667269.1,deoC,deoxyribose_phosphate aldolase,n.a,104485,105147,+,NC_009641.1,false
2,,,,,,,,,,,lcl_NC_009641.1_prot_WP_001083311.1_2291,NWMN_RS11790,WP_001083311.1,deoC,deoxyribose_phosphate aldolase,n.a,2258847,2259509,-,NC_009641.1,false
3,lcl_NC_009641.1_prot_227,NWMN_RS01165,n.a,n.a,IS1182 family transposase,n.a,264375,264725,+,NC_009641.1,true
3,,,,,,,,,,,lcl_NC_009641.1_prot_2472,NWMN_RS15785,n.a,n.a,transposase,n.a,2436214,2436573,+,NC_009641.1,true
4,lcl_NC_009641.1_prot_WP_000142049.1_249,NWMN_RS01275,WP_000142049.1,n.a,TIGR01741 family protein,n.a,289403,289894,+,NC_009641.1,false
4,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000141942.1_262,NWMN_RS01335,WP_000141942.1,n.a,TIGR01741 family protein,n.a,297061,297561,+,NC_009641.1,false
5,lcl_NC_009641.1_prot_WP_000208414.1_250,NWMN_RS01280,WP_000208414.1,n.a,DUF5079 family protein,n.a,290102,290785,+,NC_009641.1,false
5,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000208389.1_257,NWMN_RS01315,WP_000208389.1,n.a,DUF5079 family protein,n.a,294258,294941,+,NC_009641.1,false
6,lcl_NC_009641.1_prot_WP_000337827.1_288,NWMN_RS01455,WP_000337827.1,n.a,hypothetical protein,n.a,322162,322341,+,NC_009641.1,false
6,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000337826.1_1094,NWMN_RS05570,WP_000337826.1,n.a,hypothetical protein,n.a,1100392,1100571,+,NC_009641.1,false
6,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000337827.1_2020,NWMN_RS10420,WP_000337827.1,n.a,hypothetical protein,n.a,2021835,2022014,-,NC_009641.1,false
7,lcl_NC_009641.1_prot_WP_000392183.1_289,NWMN_RS01460,WP_000392183.1,n.a,hypothetical protein,n.a,322321,323253,-,NC_009641.1,false
7,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000392186.1_1095,NWMN_RS05575,WP_000392186.1,n.a,hypothetical protein,n.a,1100551,1101483,-,NC_009641.1,false
7,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000392183.1_2019,NWMN_RS10415,WP_000392183.1,n.a,hypothetical protein,n.a,2020923,2021855,+,NC_009641.1,false
8,lcl_NC_009641.1_prot_WP_000066021.1_298,NWMN_RS01505,WP_000066021.1,n.a,DUF1270 family protein,n.a,326588,326749,+,NC_009641.1,false
8,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000066017.1_2147,NWMN_RS11035,WP_000066017.1,n.a,DUF1270 domain_containing protein,n.a,2124851,2125012,-,NC_009641.1,false
8,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000066021.1_2011,NWMN_RS15430,WP_000066021.1,n.a,DUF1270 family protein,n.a,2017163,2017324,-,NC_009641.1,false
9,lcl_NC_009641.1_prot_WP_000291089.1_299,NWMN_RS01510,WP_000291089.1,n.a,DUF1108 family protein,n.a,326841,327101,+,NC_009641.1,false
9,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000291089.1_2010,NWMN_RS10380,WP_000291089.1,n.a,DUF1108 family protein,n.a,2016811,2017071,-,NC_009641.1,false
10,lcl_NC_009641.1_prot_WP_000815401.1_300,NWMN_RS01515,WP_000815401.1,n.a,DUF2483 domain_containing protein,n.a,327111,327332,+,NC_009641.1,false
10,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000815401.1_2009,NWMN_RS10375,WP_000815401.1,n.a,DUF2483 domain_containing protein,n.a,2016580,2016801,-,NC_009641.1,false
11,lcl_NC_009641.1_prot_WP_000134097.1_301,NWMN_RS01520,WP_000134097.1,n.a,ATP_binding protein,n.a,327325,328113,+,NC_009641.1,false
11,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000134097.1_2008,NWMN_RS10370,WP_000134097.1,n.a,ATP_binding protein,n.a,2015799,2016587,-,NC_009641.1,false
12,lcl_NC_009641.1_prot_WP_000704705.1_302,NWMN_RS01525,WP_000704705.1,n.a,single_stranded DNA_binding protein,n.a,328142,328693,+,NC_009641.1,false
12,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000704705.1_1106,NWMN_RS05630,WP_000704705.1,n.a,single_stranded DNA_binding protein,n.a,1106357,1106908,+,NC_009641.1,false
12,,,,,,,,,,,lcl_NC_009641.1_prot_WP_000704705.1_2007,NWMN_RS10365,WP_000704705.1,n.a,single_stranded DNA_binding protein,n.a,2015219,2015770,-,NC_009641.1,false
