seq_id,locus_tag,origin,strand,start,end,gene,pseudo,prot_id,prot_name,annot
lcl_NC_004668.1_prot_WP_002356611.1_2370 ,EF_RS12175,NC_004668.1,-,2479008,2479838,n.a,false,WP_002356611.1,"EF2563 family selenium_dependent molybdenum hydroxylase system protein","GeneID:1201424"
lcl_NC_004668.1_prot_WP_002382293.1_1385 ,EF_RS07210,NC_004668.1,-,1446662,1447105,nrdI,false,WP_002382293.1,"class Ib ribonucleoside_diphosphate reductase assembly flavoprotein NrdI","GeneID:1200394"
lcl_NC_004668.1_prot_WP_002365100.1_2603 ,EF_RS13345,NC_004668.1,-,2715721,2716047,n.a,false,WP_002365100.1,"phage head closure protein","GeneID:1201667"
lcl_NC_004668.1_prot_WP_002399600.1_1983 ,EF_RS10230,NC_004668.1,+,2045470,2045937,n.a,false,WP_002399600.1,"ImmA/IrrE family metallo_endopeptidase","GeneID:1201019"
lcl_NC_004668.1_prot_WP_002361260.1_668 ,EF_RS03495,NC_004668.1,+,686280,687653,rlmD,false,WP_002361260.1,"23S rRNA (uracil(1939)_C(5))_methyltransferase RlmD","GeneID:1199627"
lcl_NC_004668.1_prot_WP_002355981.1_3047 ,EF_RS15650,NC_004668.1,-,3186997,3187353,n.a,false,WP_002355981.1,"PTS glucitol/sorbitol transporter subunit IIA","GeneID:1202148"
lcl_NC_004668.1_prot_WP_002359358.1_222 ,EF_RS01110,NC_004668.1,-,220794,221285,n.a,false,WP_002359358.1,"GNAT family N_acetyltransferase","GeneID:1199136"
lcl_NC_004668.1_prot_WP_010714177.1_295 ,EF_RS01615,NC_004668.1,+,297542,297871,n.a,false,WP_010714177.1,"hypothetical protein","GeneID:1199240"
lcl_NC_004668.1_prot_WP_002365182.1_2689 ,EF_RS13805,NC_004668.1,-,2789721,2790824,n.a,false,WP_002365182.1,"sensor histidine kinase","GeneID:1201763"
lcl_NC_004668.1_prot_WP_002357803.1_1226 ,EF_RS06405,NC_004668.1,-,1293518,1294129,n.a,false,WP_002357803.1,"TetR/AcrR family transcriptional regulator","GeneID:1200226"
lcl_NC_004668.1_prot_WP_002378465.1_1883 ,EF_RS09715,NC_004668.1,-,1957477,1957686,n.a,false,WP_002378465.1,"hypothetical protein","GeneID:44140609"
lcl_NC_004668.1_prot_WP_002357314.1_1620 ,EF_RS08385,NC_004668.1,-,1693465,1694361,galU,false,WP_002357314.1,"UTP__glucose_1_phosphate uridylyltransferase GalU","GeneID:1200636"
lcl_NC_004668.1_prot_WP_002378800.1_2832 ,EF_RS14520,NC_004668.1,-,2935289,2937403,pnp,false,WP_002378800.1,"polyribonucleotide nucleotidyltransferase","GeneID:1201910"
lcl_NC_004668.1_prot_WP_002356506.1_2452 ,EF_RS12585,NC_004668.1,+,2566355,2567347,n.a,false,WP_002356506.1,"YhdH/YhfP family quinone oxidoreductase","GeneID:1201512"
lcl_NC_004668.1_prot_WP_002356802.1_2190 ,EF_RS11270,NC_004668.1,-,2288573,2289259,n.a,false,WP_002356802.1,"hydrolase","GeneID:1201235"
lcl_NC_004668.1_prot_WP_002357396.1_1611 ,EF_RS08340,NC_004668.1,-,1683636,1684529,n.a,false,WP_002357396.1,"deoxyribonuclease IV","GeneID:1200627"
lcl_NC_004668.1_prot_WP_002356487.1_2466 ,EF_RS12655,NC_004668.1,-,2581430,2582323,n.a,false,WP_002356487.1,"RluA family pseudouridine synthase","GeneID:1201526"
lcl_NC_004668.1_prot_WP_002359297.1_128 ,EF_RS00640,NC_004668.1,+,139953,140240,n.a,false,WP_002359297.1,"hypothetical protein","GeneID:1199042"
lcl_NC_004668.1_prot_WP_002381711.1_1899 ,EF_RS09795,NC_004668.1,-,1970076,1970825,n.a,false,WP_002381711.1,"ABC transporter ATP_binding protein","GeneID:1200924"
lcl_NC_004668.1_prot_WP_002383181.1_2960 ,EF_RS15160,NC_004668.1,+,3075324,3075446,n.a,false,WP_002383181.1,"putative metal homeostasis protein","GeneID:1202042"
lcl_NC_004668.1_prot_WP_002361678.1_1165 ,EF_RS06085,NC_004668.1,-,1228981,1229532,n.a,false,WP_002361678.1,"hypothetical protein","GeneID:1200159"
lcl_NC_004668.1_prot_WP_002387302.1_1795 ,EF_RS09260,NC_004668.1,-,1876769,1877209,n.a,false,WP_002387302.1,"hypothetical protein","GeneID:1200814"
lcl_NC_004668.1_prot_WP_002356400.1_2526 ,EF_RS12955,NC_004668.1,+,2645041,2645574,n.a,false,WP_002356400.1,"exonuclease","GeneID:1201589"
lcl_NC_004668.1_prot_WP_002383233.1_2893 ,EF_RS14825,NC_004668.1,-,3005907,3006212,n.a,false,WP_002383233.1,"hypothetical protein","GeneID:1201973"
lcl_NC_004668.1_prot_WP_002393276.1_131 ,EF_RS00655,NC_004668.1,+,142246,142860,n.a,false,WP_002393276.1,"hypothetical protein","GeneID:1199045"
lcl_NC_004668.1_prot_WP_002354715.1_3029 ,EF_RS15505,NC_004668.1,-,3160024,3160491,n.a,false,WP_002354715.1,"CtsR family transcriptional regulator","GeneID:1202117"
lcl_NC_004668.1_prot_WP_002364192.1_1847 ,EF_RS09530,NC_004668.1,-,1928184,1928339,n.a,false,WP_002364192.1,"XkdX family protein","GeneID:1200871"
lcl_NC_004668.1_prot_WP_002382323.1_1455 ,EF_RS07560,NC_004668.1,+,1520566,1521414,pheA,false,WP_002382323.1,"prephenate dehydratase","GeneID:1200468"
lcl_NC_004668.1_prot_WP_002355647.1_714 ,EF_RS03725,NC_004668.1,+,738897,739097,n.a,false,WP_002355647.1,"cold_shock protein","GeneID:1199675"
lcl_NC_004669.1_prot_WP_001015311.1_3082 ,EF_RS16205,NC_004669.1,-,7583,8263,n.a,false,WP_001015311.1,"IS6_like element IS1216 family transposase","GeneID:1202185"
lcl_NC_004668.1_prot_WP_002357604.1_1438 ,EF_RS07475,NC_004668.1,+,1505186,1505461,n.a,false,WP_002357604.1,"HU family DNA_binding protein","GeneID:1200450"
lcl_NC_004668.1_prot_WP_002387686.1_422 ,EF_RS02255,NC_004668.1,+,426770,427621,n.a,false,WP_002387686.1,"MurR/RpiR family transcriptional regulator","GeneID:1199373"
lcl_NC_004668.1_prot_WP_002382339.1_1503 ,EF_RS07800,NC_004668.1,-,1578303,1578902,n.a,false,WP_002382339.1,"hypothetical protein","GeneID:1200518"
lcl_NC_004668.1_prot_WP_002357767.1_1252 ,EF_RS06535,NC_004668.1,+,1328010,1328987,n.a,false,WP_002357767.1,"alpha_ketoacid dehydrogenase subunit beta","GeneID:1200254"
lcl_NC_004668.1_prot_WP_002384702.1_1070 ,EF_RS05610,NC_004668.1,+,1130378,1131733,celB,false,WP_002384702.1,"PTS cellobiose transporter subunit IIC","GeneID:1200062"
lcl_NC_004668.1_prot_WP_002383799.1_1880 ,EF_RS09700,NC_004668.1,-,1955862,1956596,n.a,false,WP_002383799.1,"ERF family protein","GeneID:1200906"
lcl_NC_004668.1_prot_WP_002383466.1_85 ,EF_RS00425,NC_004668.1,+,101110,102216,n.a,false,WP_002383466.1,"PTS sugar transporter subunit IIC","GeneID:1198998"
lcl_NC_004668.1_prot_WP_002356454.1_2490 ,EF_RS12775,NC_004668.1,-,2610100,2610795,n.a,false,WP_002356454.1,"5'_methylthioadenosine/adenosylhomocysteine nucleosidase","GeneID:1201550"
lcl_NC_004668.1_prot_WP_002357106.1_1809 ,EF_RS09330,NC_004668.1,-,1891086,1891556,n.a,false,WP_002357106.1,"PTS sugar transporter subunit IIB","GeneID:44140602"
lcl_NC_004668.1_prot_WP_002355107.1_2711 ,EF_RS13915,NC_004668.1,-,2815365,2816678,n.a,false,WP_002355107.1,"NCS2 family permease","GeneID:1201786"
lcl_NC_004668.1_prot_WP_002364740.1_780 ,EF_RS04060,NC_004668.1,+,811557,811883,n.a,false,WP_002364740.1,"hypothetical protein","GeneID:1199746"
lcl_NC_004668.1_prot_WP_002379186.1_842 ,EF_RS04370,NC_004668.1,+,883443,883958,n.a,false,WP_002379186.1,"GrpB family protein","GeneID:1199809"
lcl_NC_004668.1_prot_WP_002378980.1_2907 ,EF_RS14895,NC_004668.1,-,3018368,3019084,n.a,false,WP_002378980.1,"hypothetical protein","GeneID:1201988"
lcl_NC_004668.1_prot_WP_002382232.1_1179 ,EF_RS06155,NC_004668.1,-,1245337,1245822,n.a,false,WP_002382232.1,"toxin","GeneID:1200174"
lcl_NC_004669.1_prot_WP_002370667.1_3111 ,EF_RS16350,NC_004669.1,-,33965,34225,n.a,false,WP_002370667.1,"hypothetical protein","GeneID:1202216"
lcl_NC_004668.1_prot_WP_002376122.1_863 ,EF_RS04475,NC_004668.1,-,904372,906138,n.a,false,WP_002376122.1,"ABC transporter ATP_binding protein","GeneID:1199830"
lcl_NC_004668.1_prot_WP_002374908.1_1396 ,EF_RS07265,NC_004668.1,-,1456539,1457420,n.a,false,WP_002374908.1,"serine hydrolase","GeneID:1200405"
lcl_NC_004668.1_prot_WP_002365747.1_1624 ,EF_RS08405,NC_004668.1,+,1697460,1698422,n.a,false,WP_002365747.1,"GIY_YIG nuclease family protein","GeneID:1200640"
lcl_NC_004668.1_prot_WP_002368717.1_2145 ,EF_RS11045,NC_004668.1,-,2239156,2240058,n.a,false,WP_002368717.1,"radical SAM protein","GeneID:1201187"
lcl_NC_004668.1_prot_WP_002382334.1_1487 ,EF_RS07720,NC_004668.1,+,1557238,1558698,n.a,false,WP_002382334.1,"sucrose_6_phosphate hydrolase","GeneID:1200501"
lcl_NC_004671.1_prot_WP_011109630.1_3190 ,EF_RS16010,NC_004671.1,+,48079,48453,n.a,false,WP_011109630.1,"hypothetical protein","GeneID:1202319"
lcl_NC_004668.1_prot_WP_002354883.1_2912 ,EF_RS14920,NC_004668.1,+,3024141,3024590,mscL,false,WP_002354883.1,"large conductance mechanosensitive channel protein MscL","GeneID:1201993"
lcl_NC_004668.1_prot_WP_002370931.1_483 ,EF_RS02565,NC_004668.1,-,484016,484216,n.a,false,WP_002370931.1,"helix_turn_helix transcriptional regulator","GeneID:1199436"
lcl_NC_004668.1_prot_WP_002357562.1_1470 ,EF_RS07635,NC_004668.1,+,1536391,1537251,n.a,false,WP_002357562.1,"LysM peptidoglycan_binding domain_containing protein","GeneID:1200483"
lcl_NC_004668.1_prot_WP_002378992.1_2925 ,EF_RS14985,NC_004668.1,-,3038524,3041100,mutS,false,WP_002378992.1,"DNA mismatch repair protein MutS","GeneID:1202006"
lcl_NC_004668.1_prot_WP_002354903.1_2901 ,EF_RS14865,NC_004668.1,-,3011165,3012037,n.a,false,WP_002354903.1,"PTS system mannose/fructose/sorbose family transporter subunit IID","GeneID:1201981"
lcl_NC_004668.1_prot_WP_002358571.1_525 ,EF_RS02780,NC_004668.1,+,534868,535128,n.a,false,WP_002358571.1,"PTS sugar transporter subunit IIA","GeneID:44140571"
lcl_NC_004668.1_prot_WP_002356327.1_2579 ,EF_RS13220,NC_004668.1,+,2695020,2695595,n.a,false,WP_002356327.1,"DUF805 domain_containing protein","GeneID:1201642"
lcl_NC_004670.1_prot_WP_001015311.1_3209 ,EF_RS16105,NC_004670.1,+,8607,9287,n.a,false,WP_001015311.1,"IS6_like element IS1216 family transposase","GeneID:1202257"
lcl_NC_004668.1_prot_WP_002288710.1_209 ,EF_RS01045,NC_004668.1,+,210346,210462,rpmJ,false,WP_002288710.1,"50S ribosomal protein L36","GeneID:1199124"
lcl_NC_004668.1_prot_WP_002357169.1_1769 ,EF_RS09130,NC_004668.1,+,1847069,1847668,n.a,false,WP_002357169.1,"TVP38/TMEM64 family protein","GeneID:1200783"
lcl_NC_004671.1_prot_WP_002382828.1_3193 ,EF_RS16025,NC_004671.1,+,49378,49629,n.a,false,WP_002382828.1,"hypothetical protein","GeneID:1202322"
lcl_NC_004668.1_prot_WP_002355836.1_871 ,EF_RS04515,NC_004668.1,+,913338,914321,pta,false,WP_002355836.1,"phosphate acetyltransferase","GeneID:1199838"
lcl_NC_004668.1_prot_WP_002355450.1_580 ,EF_RS03055,NC_004668.1,+,588991,590853,tdc,false,WP_002355450.1,"tyrosine decarboxylase","GeneID:1199535"
lcl_NC_004668.1_prot_WP_010774238.1_2462 ,EF_RS12635,NC_004668.1,-,2577498,2578004,trmL,false,WP_010774238.1,"tRNA (uridine(34)/cytosine(34)/5_carboxymethylaminomethyluridine(34)_2'_O)_methyltransferase TrmL","GeneID:1201522"
lcl_NC_004668.1_prot_WP_002357486.1_1528 ,EF_RS07925,NC_004668.1,-,1601182,1602489,trmFO,false,WP_002357486.1,"FADH(2)_oxidizing methylenetetrahydrofolate__tRNA_(uracil(54)_C(5))_methyltransferase TrmFO","GeneID:1200543"
lcl_NC_004668.1_prot_WP_002360456.1_1241 ,EF_RS06480,NC_004668.1,-,1310605,1312944,n.a,false,WP_002360456.1,"ABC transporter ATP_binding protein/permease","GeneID:1200241"
lcl_NC_004668.1_prot_WP_002361967.1_1671 ,EF_RS08640,NC_004668.1,-,1744989,1745396,n.a,false,WP_002361967.1,"PTS fructose transporter subunit IIA","GeneID:1200687"
lcl_NC_004668.1_prot_WP_002356666.1_2283 ,EF_RS11735,NC_004668.1,-,2391365,2391865,n.a,false,WP_002356666.1,"HD domain_containing protein","GeneID:1201335"
lcl_NC_004668.1_prot_WP_002356132.1_94 ,EF_RS00470,NC_004668.1,+,110110,111042,arcC,false,WP_002356132.1,"carbamate kinase","GeneID:1199007"
lcl_NC_004668.1_prot_WP_002368704.1_2134 ,EF_RS10990,NC_004668.1,+,2221592,2221834,n.a,false,WP_002368704.1,"helix_turn_helix transcriptional regulator","GeneID:1201175"
lcl_NC_004668.1_prot_WP_002357418.1_1589 ,EF_RS08230,NC_004668.1,-,1660778,1661410,n.a,false,WP_002357418.1,"orotate phosphoribosyltransferase","GeneID:1200604"
lcl_NC_004668.1_prot_WP_002378886.1_2679 ,EF_RS13755,NC_004668.1,-,2779614,2781167,n.a,false,WP_002378886.1,"2';3'_cyclic_nucleotide 2'_phosphodiesterase","GeneID:1201753"
lcl_NC_004668.1_prot_WP_002383399.1_904 ,EF_RS04685,NC_004668.1,-,943234,943344,n.a,false,WP_002383399.1,"DUF4044 domain_containing protein","GeneID:44140581"
lcl_NC_004668.1_prot_WP_002379564.1_1800 ,EF_RS09285,NC_004668.1,+,1882384,1882779,n.a,false,WP_002379564.1,"DUF3224 family protein","GeneID:1200819"
lcl_NC_004668.1_prot_WP_002362075.1_1915 ,EF_RS09875,NC_004668.1,-,1990775,1991899,mnmA,false,WP_002362075.1,"tRNA 2_thiouridine(34) synthase MnmA","GeneID:1200942"
lcl_NC_004668.1_prot_WP_002387355.1_2803 ,EF_RS14375,NC_004668.1,-,2911479,2912222,n.a,false,WP_002387355.1,"photosystem I biogenesis protein BtpA","GeneID:1201879"
lcl_NC_004668.1_prot_WP_002368685.1_2123 ,EF_RS10935,NC_004668.1,-,2212353,2212961,vanX,false,WP_002368685.1,"D_Ala_D_Ala dipeptidase VanX","GeneID:1201165"
lcl_NC_004668.1_prot_WP_002355832.1_867 ,EF_RS04495,NC_004668.1,+,910314,910877,n.a,false,WP_002355832.1,"GNAT family N_acetyltransferase","GeneID:1199834"
lcl_NC_004668.1_prot_WP_002359318.1_141 ,EF_RS00705,NC_004668.1,+,154604,154993,n.a,false,WP_002359318.1,"conjugal transfer protein","GeneID:1199056"
lcl_NC_004668.1_prot_WP_002330911.1_1745 ,EF_RS09010,NC_004668.1,-,1821781,1823904,n.a,false,WP_002330911.1,"transposase","GeneID:1200757"
lcl_NC_004668.1_prot_WP_002387026.1_872 ,EF_RS04520,NC_004668.1,+,914463,914957,tsaE,false,WP_002387026.1,"tRNA (adenosine(37)_N6)_threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","GeneID:1199839"
lcl_NC_004668.1_prot_WP_002379277.1_8 ,EF_RS00040,NC_004668.1,+,9697,10263,ssb,false,WP_002379277.1,"single_stranded DNA_binding protein","GeneID:1198919"
lcl_NC_004668.1_prot_WP_002387470.1_86 ,EF_RS00430,NC_004668.1,+,102203,102898,sdaAB,false,WP_002387470.1,"L_serine ammonia_lyase; iron_sulfur_dependent; subunit beta","GeneID:1198999"
lcl_NC_004668.1_prot_WP_010774232.1_2176 ,EF_RS11200,NC_004668.1,-,2266768,2269992,fss3,false,WP_010774232.1,"fibrinogen_binding MSCRAMM adhesin Fss3","GeneID:1201218"
lcl_NC_004668.1_prot_WP_002356832.1_2078 ,EF_RS10710,NC_004668.1,+,2161465,2162526,n.a,false,WP_002356832.1,"LacI family DNA_binding transcriptional regulator","GeneID:1201114"
lcl_NC_004668.1_prot_WP_002358168.1_969 ,EF_RS05095,NC_004668.1,-,1024368,1024628,n.a,false,WP_002358168.1,"hypothetical protein","GeneID:44140582"
lcl_NC_004668.1_prot_WP_002354933.1_2879 ,EF_RS14755,NC_004668.1,-,2991521,2991883,n.a,false,WP_002354933.1,"Asp23/Gls24 family envelope stress response protein","GeneID:1201959"
lcl_NC_004668.1_prot_WP_002378890.1_2685 ,EF_RS13785,NC_004668.1,-,2786820,2787758,n.a,false,WP_002378890.1,"glycosyltransferase family 2 protein","GeneID:1201759"
lcl_NC_004668.1_prot_WP_002358647.1_600 ,EF_RS03155,NC_004668.1,+,607318,608163,n.a,false,WP_002358647.1,"VOC family protein","GeneID:1199556"
lcl_NC_004668.1_prot_WP_010714134.1_2718 ,EF_RS13950,NC_004668.1,-,2819330,2819887,n.a,false,WP_010714134.1,"DUF4433 domain_containing protein","GeneID:1201794"
lcl_NC_004668.1_prot_WP_002354860.1_2929 ,EF_RS15005,NC_004668.1,-,3044471,3045517,recA,false,WP_002354860.1,"recombinase RecA","GeneID:1202010"
lcl_NC_004668.1_prot_3020 ,EF_RS15460,NC_004668.1,-,3146710,3147417,n.a,true,n.a,"hypothetical protein","GeneID:1202107"
lcl_NC_004668.1_prot_WP_002387151.1_2430 ,EF_RS12475,NC_004668.1,-,2542988,2543512,n.a,false,WP_002387151.1,"winged_helix domain_containing protein","GeneID:1201489"
lcl_NC_004668.1_prot_WP_002382249.1_1214 ,EF_RS06335,NC_004668.1,+,1281964,1283181,n.a,false,WP_002382249.1,"pyridoxal phosphate_dependent aminotransferase","GeneID:1200212"
lcl_NC_004668.1_prot_WP_002387098.1_2260 ,EF_RS11620,NC_004668.1,+,2362785,2363726,n.a,false,WP_002387098.1,"ketopantoate reductase family protein","GeneID:1201311"
lcl_NC_004668.1_prot_WP_002389357.1_2745 ,EF_RS14085,NC_004668.1,-,2841194,2842327,n.a,false,WP_002389357.1,"DUF916 and DUF3324 domain_containing protein","GeneID:1201821"
lcl_NC_004668.1_prot_WP_002387581.1_2989 ,EF_RS15305,NC_004668.1,+,3104221,3104913,n.a,false,WP_002387581.1,"prepilin peptidase","GeneID:1202071"
lcl_NC_004668.1_prot_WP_002358946.1_3018 ,EF_RS15450,NC_004668.1,-,3145172,3145570,n.a,false,WP_002358946.1,"hypothetical protein","GeneID:1202105"
lcl_NC_004668.1_prot_WP_002355919.1_936 ,EF_RS04845,NC_004668.1,+,975679,975999,n.a,false,WP_002355919.1,"PTS lactose/cellobiose transporter subunit IIA","GeneID:1199905"
lcl_NC_004668.1_prot_WP_010773620.1_2118 ,EF_RS10910,NC_004668.1,-,2207802,2209013,n.a,false,WP_010773620.1,"ParB N_terminal domain_containing protein","GeneID:1201158"
lcl_NC_004668.1_prot_WP_002365663.1_1462 ,EF_RS07595,NC_004668.1,+,1527141,1529030,n.a,false,WP_002365663.1,"ABC_F family ATP_binding cassette domain_containing protein","GeneID:1200475"
lcl_NC_004668.1_prot_WP_002360223.1_1542 ,EF_RS07995,NC_004668.1,-,1617486,1618307,ptb,false,WP_002360223.1,"branched_chain phosphotransacylase","GeneID:1200557"
lcl_NC_004668.1_prot_WP_000195429.1_2970 ,EF_RS15210,NC_004668.1,+,3084337,3085509,n.a,false,WP_000195429.1,"IS256_like element IS256 family transposase","GeneID:1202052"
lcl_NC_004668.1_prot_WP_002355015.1_2807 ,EF_RS14395,NC_004668.1,-,2914097,2914411,n.a,false,WP_002355015.1,"thioredoxin family protein","GeneID:1201883"
lcl_NC_004668.1_prot_WP_010774207.1_1367 ,EF_RS07115,NC_004668.1,+,1430513,1435678,n.a,false,WP_010774207.1,"peptidoglycan DD_metalloendopeptidase family protein","GeneID:1200375"
lcl_NC_004668.1_prot_WP_002356622.1_2360 ,EF_RS12125,NC_004668.1,-,2465321,2466343,n.a,false,WP_002356622.1,"threonylcarbamoyl_AMP synthase","GeneID:1201414"
lcl_NC_004668.1_prot_WP_002369307.1_1602 ,EF_RS08295,NC_004668.1,-,1674803,1676473,n.a,false,WP_002369307.1,"formate__tetrahydrofolate ligase","GeneID:1200617"
lcl_NC_004668.1_prot_WP_002357425.1_1582 ,EF_RS08195,NC_004668.1,-,1651210,1652100,pstS,false,WP_002357425.1,"phosphate ABC transporter substrate_binding protein PstS family protein","GeneID:1200597"
lcl_NC_004668.1_prot_WP_011109552.1_2280 ,EF_RS11720,NC_004668.1,-,2385982,2390517,n.a,false,WP_011109552.1,"hypothetical protein","GeneID:1201332"
lcl_NC_004668.1_prot_WP_002386974.1_725 ,EF_RS03785,NC_004668.1,+,753881,754549,n.a,false,WP_002386974.1,"ABC transporter ATP_binding protein","GeneID:1199687"
lcl_NC_004668.1_prot_WP_002359282.1_114 ,EF_RS00570,NC_004668.1,+,132152,132727,n.a,false,WP_002359282.1,"restriction endonuclease","GeneID:1199028"
lcl_NC_004668.1_prot_WP_002385273.1_2678 ,EF_RS13750,NC_004668.1,+,2778569,2779549,n.a,false,WP_002385273.1,"2_hydroxyacid dehydrogenase","GeneID:1201752"
lcl_NC_004668.1_prot_WP_002380946.1_2836 ,EF_RS14540,NC_004668.1,-,2939535,2940188,n.a,false,WP_002380946.1,"DNA alkylation repair protein","GeneID:1201914"
lcl_NC_004668.1_prot_WP_002383725.1_1898 ,EF_RS09790,NC_004668.1,-,1968257,1970086,n.a,false,WP_002383725.1,"ABC transporter permease","GeneID:1200923"
lcl_NC_004668.1_prot_WP_002380514.1_2006 ,EF_RS10345,NC_004668.1,-,2074545,2075966,n.a,false,WP_002380514.1,"hypothetical protein","GeneID:1201042"
