locus_tag,origin,strand,start,end,gene,pseudo,prot_id,prot_name,annot
NWMN_RS15695,NC_009641.1,-,466592,466657,n.a,false,WP_014373781.1,"phenol_soluble modulin PSM_alpha_1","n.a"
NWMN_RS01105,NC_009641.1,-,255343,256047,n.a,false,WP_000922329.1,"GntR family transcriptional regulator","n.a"
NWMN_RS12060,NC_009641.1,+,2319736,2321712,sfaD,false,WP_001052566.1,"D_ornithine__citrate ligase SfnaD","n.a"
NWMN_RS02320,NC_009641.1,+,459968,460753,lpl9,false,WP_000835976.1,"tandem_type lipoprotein Lpl9","n.a"
NWMN_RS11180,NC_009641.1,-,2146099,2146383,n.a,false,WP_000917289.1,"co_chaperone GroES","n.a"
NWMN_RS09310,NC_009641.1,+,1854327,1855328,n.a,false,WP_001196354.1,"proline dehydrogenase","n.a"
NWMN_RS09785,NC_009641.1,-,1938532,1938630,n.a,false,WP_001791795.1,"hypothetical protein","n.a"
NWMN_RS05745,NC_009641.1,+,1115489,1115929,n.a,false,WP_001003272.1,"terminase small subunit","n.a"
NWMN_RS04855,NC_009641.1,+,960435,961397,n.a,false,WP_000593417.1,"ABC transporter permease","n.a"
NWMN_RS15145,NC_009641.1,+,571451,571594,rpmG,false,WP_001788193.1,"50S ribosomal protein L33","n.a"
NWMN_RS08830,NC_009641.1,-,1739880,1740407,infC,false,WP_001791162.1,"translation initiation factor IF_3","n.a"
NWMN_RS01975,NC_009641.1,-,397663,399891,metE,false,WP_000207614.1,"5_methyltetrahydropteroyltriglutamate__homocysteine S_methyltransferase","n.a"
NWMN_RS14225,NC_009641.1,+,2724473,2725030,n.a,false,WP_001224188.1,"TetR/AcrR family transcriptional regulator","n.a"
NWMN_RS05375,NC_009641.1,+,1064320,1064946,n.a,false,WP_000668339.1,"cell_wall_binding lipoprotein","n.a"
NWMN_RS13055,NC_009641.1,-,2490847,2492445,n.a,false,WP_000960854.1,"L_lactate permease","n.a"
NWMN_RS01125,NC_009641.1,-,258873,259634,n.a,false,WP_000031268.1,"class I SAM_dependent methyltransferase","n.a"
NWMN_RS09510,NC_009641.1,-,1888314,1888697,n.a,false,WP_000070811.1,"hypothetical protein","n.a"
NWMN_RS15260,NC_009641.1,+,999798,1000070,n.a,false,WP_001790097.1,"lactococcin 972 family bacteriocin","n.a"
NWMN_RS06305,NC_009641.1,+,1222882,1223493,n.a,false,WP_001040245.1,"orotate phosphoribosyltransferase","n.a"
NWMN_RS00310,NC_009641.1,+,71507,73099,n.a,false,WP_000173902.1,"L_lactate permease","n.a"
NWMN_RS04800,NC_009641.1,+,947929,948870,n.a,false,WP_001100525.1,"ketoacyl_ACP synthase III","n.a"
NWMN_RS05555,NC_009641.1,-,1098440,1098664,n.a,false,WP_001791487.1,"hypothetical protein","n.a"
NWMN_RS14165,NC_009641.1,-,2713952,2714719,n.a,false,WP_000725225.1,"CHAP domain_containing protein","n.a"
NWMN_RS05825,NC_009641.1,+,1128308,1129255,n.a,false,WP_000350684.1,"phage tail family protein","n.a"
NWMN_RS12730,NC_009641.1,-,2426340,2427464,n.a,false,WP_000684141.1,"NAD(P)_binding protein","n.a"
NWMN_RS06485,NC_009641.1,+,1260658,1261395,trmD,false,WP_000687328.1,"tRNA (guanosine(37)_N1)_methyltransferase TrmD","n.a"
NWMN_RS08255,NC_009641.1,-,1631297,1632403,rpoD,false,WP_001283055.1,"RNA polymerase sigma factor RpoD","n.a"
NWMN_RS03995,NC_009641.1,+,791317,792345,n.a,false,WP_000754443.1,"siderophore ABC transporter substrate_binding protein","n.a"
NWMN_RS05160,NC_009641.1,+,1020686,1020796,n.a,false,WP_001788579.1,"hypothetical protein","n.a"
NWMN_RS01065,NC_009641.1,+,245935,246960,n.a,false,WP_000610203.1,"zinc_binding dehydrogenase","n.a"
NWMN_RS11300,NC_009641.1,-,2168480,2168914,tsaE,false,WP_010956572.1,"tRNA (adenosine(37)_N6)_threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","n.a"
NWMN_RS11605,NC_009641.1,-,2225098,2225502,n.a,false,WP_001094394.1,"F0F1 ATP synthase subunit epsilon","n.a"
NWMN_RS05490,NC_009641.1,-,1089111,1090022,n.a,false,WP_000467123.1,"heme A synthase","n.a"
NWMN_RS09075,NC_009641.1,+,1796423,1796518,n.a,false,WP_001789986.1,"hypothetical protein","n.a"
NWMN_RS08565,NC_009641.1,+,1691213,1692226,n.a,false,WP_000985886.1,"LLM class flavin_dependent oxidoreductase","n.a"
NWMN_RS09760,NC_009641.1,+,1931336,1931893,n.a,false,WP_000477959.1,"DUF3267 domain_containing protein","n.a"
NWMN_RS04820,NC_009641.1,+,951721,952791,n.a,false,WP_000829632.1,"ABC transporter permease","n.a"
NWMN_RS03020,NC_009641.1,+,599782,600651,n.a,false,WP_000593367.1,"Cof_type HAD_IIB family hydrolase","n.a"
NWMN_RS00445,NC_009641.1,-,101347,102102,n.a,false,WP_001789411.1,"GntR family transcriptional regulator","n.a"
NWMN_RS15495,NC_009641.1,-,2123917,2124180,n.a,false,WP_001205732.1,"hypothetical protein","n.a"
NWMN_RS04125,NC_009641.1,+,819936,820868,n.a,false,WP_000958224.1,"HPr kinase/phosphorylase","n.a"
NWMN_RS01755,NC_009641.1,+,357446,357745,n.a,false,WP_000466778.1,"DUF2951 domain_containing protein","n.a"
NWMN_RS05530,NC_009641.1,-,1095158,1095547,n.a,false,WP_000814565.1,"hypothetical protein","n.a"
NWMN_RS13415,NC_009641.1,-,2560442,2560549,n.a,false,WP_000482650.1,"type I toxin_antitoxin system Fst family toxin","n.a"
NWMN_RS09860,NC_009641.1,-,1950909,1952366,n.a,false,WP_000649907.1,"ABC transporter permease subunit","n.a"
NWMN_RS03475,NC_009641.1,+,691303,691701,tagD,false,WP_000832260.1,"glycerol_3_phosphate cytidylyltransferase","n.a"
