Group,ID-1,Locus_Tag,Protein1,symbol,name Prot1,Annotation,start,end,strand,Origin,ID-2,Locus_tag,Protein2,symbol,name Prot2,Annotation,start,end,strand,Origin
1,lcl_NZ_CP006262.1_prot_WP_025380524.1_3201,ECRM13516_RS15660,WP_025380524.1,,transposase,,3047863,3049071,-,chrm
1,,,,,,,,,,,lcl_NZ_CP006262.1_prot_WP_071826550.1_5252,ECRM13516_RS25830,WP_071826550.1,,transposase,,5122268,5123464,-,chrm,
1,,,,,,,,,,,lcl_NZ_CP006264.1_prot_WP_051494565.1_5713,ECRM13516_RS28135,WP_051494565.1,,transposase,,10129,11337,+,chrm,
2,lcl_NZ_CP006263.1_prot_WP_000222761.1_5587,ECRM13516_RS27560,WP_000222761.1,,type II toxin_antitoxin system RelE/ParE family toxin,,18346,18633,+,chrm
2,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_001270421.1_5668,ECRM13516_RS27940,WP_001270421.1,,type II toxin_antitoxin system mRNA interferase toxin; RelE/StbE family,,78052,78339,-,chrm,
3,lcl_NZ_CP006263.1_prot_WP_000091308.1_5594,ECRM13516_RS27595,WP_000091308.1,,hypothetical protein,,22280,22645,+,chrm
3,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_000091308.1_5666,ECRM13516_RS27935,WP_000091308.1,,hypothetical protein,,77477,77842,-,chrm,
3,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_000091308.1_5654,ECRM13516_RS27880,WP_000091308.1,,hypothetical protein,,68601,68966,+,chrm,
3,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_000091308.1_5675,ECRM13516_RS27975,WP_000091308.1,,hypothetical protein,,83352,83717,-,chrm,
4,lcl_NZ_CP006263.1_prot_WP_025380712.1_5595,ECRM13516_RS27600,WP_025380712.1,,IS91 family transposase,,22645,23832,+,chrm
4,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_025380712.1_5655,ECRM13516_RS27885,WP_025380712.1,,IS91 family transposase,,68966,70153,+,chrm,
4,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_025380712.1_5674,ECRM13516_RS27970,WP_025380712.1,,IS91 family transposase,,82165,83352,-,chrm,
4,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_025380712.1_5665,ECRM13516_RS27930,WP_025380712.1,,IS91 family transposase,,76290,77477,-,chrm,
5,lcl_NZ_CP006262.1_prot_WP_025380322.1_1188,ECRM13516_RS05905,WP_025380322.1,,IS66 family transposase,,1218393,1219931,-,chrm
5,,,,,,,,,,,lcl_NZ_CP006262.1_prot_WP_025380367.1_1817,ECRM13516_RS08935,WP_025380367.1,,IS66 family transposase,,1761428,1762966,-,chrm,
5,,,,,,,,,,,lcl_NZ_CP006262.1_prot_WP_025380472.1_2808,ECRM13516_RS13710,WP_025380472.1,,IS66 family transposase,,2659576,2661114,-,chrm,
5,,,,,,,,,,,lcl_NZ_CP006262.1_prot_WP_025380472.1_5323,ECRM13516_RS26200,WP_025380472.1,,IS66 family transposase,,5190290,5191828,-,chrm,
5,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_025380726.1_5684,ECRM13516_RS28015,WP_025380726.1,,IS66 family transposase,,92893,94431,-,chrm,
5,,,,,,,,,,,lcl_NZ_CP006262.1_prot_WP_001000406.1_5175,ECRM13516_RS25470,WP_001000406.1,,IS66 family transposase,,5033095,5034630,+,chrm,
5,,,,,,,,,,,lcl_NZ_CP006262.1_prot_WP_025380472.1_5509,ECRM13516_RS27105,WP_025380472.1,,IS66 family transposase,,5347524,5349062,-,chrm,
5,,,,,,,,,,,lcl_NZ_CP006263.1_prot_WP_025380713.1_5602,ECRM13516_RS27640,WP_025380713.1,,IS66 family transposase,,30767,32305,-,chrm,
