#taxa	Query_Protein	Subject_Proteins
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_002390607.1_1383	lcl_NZ_LR698844.1_prot_WP_002357393.1_1531
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_002355301.1_392	lcl_NZ_LR698844.1_prot_WP_073340141.1_319
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_002355913.1_930	lcl_NZ_LR698844.1_prot_WP_002355918.1_867,lcl_NZ_LR698844.1_prot_WP_002355913.1_862
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_010714280.1_446	lcl_NZ_LR698844.1_prot_WP_002367913.1_414
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_000195429.1_112	lcl_NZ_LR698844.1_prot_WP_007209349.1_222,lcl_NZ_LR698844.1_prot_WP_007209349.1_95,lcl_NZ_LR698844.1_prot_WP_007209349.1_1848,lcl_NZ_LR698844.1_prot_WP_007209349.1_1181
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_011109430.1_134	lcl_NZ_LR698844.1_prot_WP_002367912.1_415
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_010774154.1_328	lcl_NZ_LR698844.1_prot_WP_002389028.1_1853,lcl_NZ_LR698844.1_prot_WP_015212239.1_2393
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_002371667.1_2843	lcl_NZ_LR698844.1_prot_WP_002389481.1_2572,lcl_NZ_LR698844.1_prot_WP_002378868.1_2736
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_002379919.1_327	lcl_NZ_LR698844.1_prot_WP_002381666.1_1854,lcl_NZ_LR698844.1_prot_WP_010711247.1_2394
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_002379301.1_984	lcl_NZ_LR698844.1_prot_WP_002361578.1_923,lcl_NZ_LR698844.1_prot_WP_002388439.1_2302
