#taxa	Query_Protein	Subject_Proteins
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000672038.1_2898	lcl_NZ_CP010295.1_prot_WP_000672039.1_2863,lcl_NZ_CP010295.1_prot_WP_000672038.1_2858
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000667269.1_90	lcl_NZ_CP010295.1_prot_WP_000667275.1_150,lcl_NZ_CP010295.1_prot_WP_001083316.1_2251
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000142049.1_249	lcl_NZ_CP010295.1_prot_WP_000141942.1_322,lcl_NZ_CP010295.1_prot_WP_000142049.1_309
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000339146.1_352	lcl_NZ_CP010295.1_prot_WP_000339146.1_1497
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_1747	lcl_NZ_CP010295.1_prot_1777,lcl_NZ_CP010295.1_prot_2298,lcl_NZ_CP010295.1_prot_1872
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000208414.1_250	lcl_NZ_CP010295.1_prot_WP_000208389.1_317,lcl_NZ_CP010295.1_prot_WP_000208414.1_310
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_227	lcl_NZ_CP010295.1_prot_2432,lcl_NZ_CP010295.1_prot_287
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000291474.1_1103	lcl_NZ_CP010295.1_prot_WP_000291513.1_2107
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000977774.1_49	lcl_NZ_CP010295.1_prot_WP_000977781.1_111,lcl_NZ_CP010295.1_prot_WP_078101845.1_109
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_001265708.1_1383	lcl_NZ_CP010295.1_prot_WP_001265708.1_1330,lcl_NZ_CP010295.1_prot_WP_001265709.1_1638
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000028628.1_448	lcl_NZ_CP010295.1_prot_WP_011443644.1_1902,lcl_NZ_CP010295.1_prot_WP_000028628.1_437
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000185669.1_319	lcl_NZ_CP010295.1_prot_WP_000185671.1_1533
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000930256.1_353	lcl_NZ_CP010295.1_prot_WP_000909220.1_1496
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000882085.1_631	lcl_NZ_CP010295.1_prot_WP_000923044.1_629,lcl_NZ_CP010295.1_prot_WP_000882085.1_620
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_001808146.1_1935	lcl_NZ_CP010295.1_prot_WP_001549130.1_1964,lcl_NZ_CP010295.1_prot_WP_001550301.1_2278
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_031765538.1_324	lcl_NZ_CP010295.1_prot_WP_000592202.1_1529,lcl_NZ_CP010295.1_prot_WP_000592207.1_2090
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000022735.1_312	lcl_NZ_CP010295.1_prot_WP_000022728.1_1537
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_001065083.1_318	lcl_NZ_CP010295.1_prot_WP_001065039.1_1534
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_012068339.1_313	lcl_NZ_CP010295.1_prot_WP_000131383.1_2097,lcl_NZ_CP010295.1_prot_WP_000132194.1_1535
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_001038688.1_1875	lcl_NZ_CP010295.1_prot_WP_001038704.1_1907,lcl_NZ_CP010295.1_prot_WP_001038688.1_1904
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000416756.1_1891	lcl_NZ_CP010295.1_prot_WP_000416756.1_1920,lcl_NZ_CP010295.1_prot_WP_000416759.1_1922
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_001148638.1_2014	lcl_NZ_CP010295.1_prot_WP_001148642.1_2112
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000466778.1_348	lcl_NZ_CP010295.1_prot_WP_000466784.1_1498
GCA_000815045.1_Saureus_29b_MRSA	lcl_NC_009641.1_prot_WP_000195799.1_320	lcl_NZ_CP010295.1_prot_WP_000195794.1_1532,lcl_NZ_CP010295.1_prot_WP_000195803.1_2091
GCA_001887075.1_Saureus_LA-MRSAST398	lcl_NC_009641.1_prot_WP_000466778.1_348	lcl_NZ_CP013218.1_prot_WP_000466784.1_1452
GCA_001887075.1_Saureus_LA-MRSAST398	lcl_NC_009641.1_prot_WP_000882085.1_631	lcl_NZ_CP013218.1_prot_WP_000923047.1_596,lcl_NZ_CP013218.1_prot_WP_000923041.1_588
GCA_001887075.1_Saureus_LA-MRSAST398	lcl_NC_009641.1_prot_WP_001265708.1_1383	lcl_NZ_CP013218.1_prot_WP_001265708.1_1287,lcl_NZ_CP013218.1_prot_WP_001265709.1_1583
GCA_001887075.1_Saureus_LA-MRSAST398	lcl_NC_009641.1_prot_WP_000066021.1_298	lcl_NZ_CP013218.1_prot_WP_031911834.1_1917
GCA_001887075.1_Saureus_LA-MRSAST398	lcl_NC_009641.1_prot_WP_000672038.1_2898	lcl_NZ_CP013218.1_prot_WP_000672026.1_2767
GCA_001887075.1_Saureus_LA-MRSAST398	lcl_NC_009641.1_prot_WP_000704705.1_302	lcl_NZ_CP013218.1_prot_WP_031911830.1_1911
