#taxa	Query_Protein	Subject_Proteins
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002326704.1_942	lcl_NZ_CP043484.1_prot_WP_002335471.1_2043,lcl_NZ_CP043485.1_prot_WP_010777190.1_2630,lcl_NZ_CP043485.1_prot_2471,lcl_NZ_CP043485.1_prot_WP_002295743.1_2612,lcl_NZ_CP043485.1_prot_WP_002295743.1_2467
GCA_008330605.1_DMEA02	lcl_NZ_CP013995.1_prot_WP_002300851.1_3076	lcl_NZ_CP043485.1_prot_WP_149484520.1_2514
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002287843.1_239	lcl_NZ_CP043485.1_prot_WP_128440555.1_2594,lcl_NZ_CP043485.1_prot_WP_002329896.1_2548
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002296337.1_948	lcl_NZ_CP043484.1_prot_WP_002329368.1_1015
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002286606.1_1865	lcl_NZ_CP043484.1_prot_WP_002286606.1_1824,lcl_NZ_CP043484.1_prot_WP_002292494.1_310
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002296335.1_950	lcl_NZ_CP043484.1_prot_WP_002335822.1_1017
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002286553.1_1844	lcl_NZ_CP043484.1_prot_WP_047927231.1_915
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_025477679.1_525	lcl_NZ_CP043484.1_prot_WP_002329374.1_1008,lcl_NZ_CP043484.1_prot_WP_113783928.1_957
GCA_008330605.1_DMEA02	lcl_NZ_CP013995.1_prot_WP_002328880.1_2888	lcl_NZ_CP043485.1_prot_WP_002329890.1_2537
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_086956687.1_457	lcl_NZ_CP043485.1_prot_WP_149484524.1_2554,lcl_NZ_CP043484.1_prot_WP_086956687.1_1681,lcl_NZ_CP043484.1_prot_WP_086956687.1_271,lcl_NZ_CP043484.1_prot_WP_086956687.1_586,lcl_NZ_CP043484.1_prot_WP_086956687.1_1004
GCA_008330605.1_DMEA02	lcl_NZ_CP013995.1_prot_WP_002292680.1_2995	lcl_NZ_CP043485.1_prot_WP_002292680.1_2462
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_010782560.1_736	lcl_NZ_CP043484.1_prot_WP_002329140.1_133,lcl_NZ_CP043484.1_prot_WP_002293280.1_285,lcl_NZ_CP043484.1_prot_WP_002336011.1_667,lcl_NZ_CP043485.1_prot_WP_002329140.1_2541,lcl_NZ_CP043484.1_prot_WP_002293280.1_1201,lcl_NZ_CP043484.1_prot_WP_002293280.1_1085,lcl_NZ_CP043484.1_prot_WP_002293280.1_1586,lcl_NZ_CP043484.1_prot_WP_002329140.1_1459,lcl_NZ_CP043484.1_prot_WP_002293280.1_1651,lcl_NZ_CP043484.1_prot_WP_002293280.1_413,lcl_NZ_CP043485.1_prot_WP_002329140.1_2586,lcl_NZ_CP043484.1_prot_WP_002293280.1_2179
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002303285.1_494	lcl_NZ_CP043484.1_prot_WP_047930161.1_921
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002287775.1_945	lcl_NZ_CP043484.1_prot_WP_002329370.1_1013
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002291278.1_1236	lcl_NZ_CP043484.1_prot_WP_002291278.1_1244,lcl_NZ_CP043484.1_prot_WP_002290686.1_1259
GCA_008330605.1_DMEA02	lcl_NZ_CP013995.1_prot_WP_002319817.1_2839	lcl_NZ_CP043485.1_prot_WP_149484529.1_2625
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002296332.1_952	lcl_NZ_CP043484.1_prot_WP_002329364.1_1019
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_WP_002353637.1_852	lcl_NZ_CP043484.1_prot_WP_002337499.1_958
GCA_008330605.1_DMEA02	lcl_NZ_CP013994.1_prot_949	lcl_NZ_CP043484.1_prot_WP_002329367.1_1016
GCA_008330605.1_DMEA02	lcl_NZ_CP013995.1_prot_WP_002292418.1_2920	lcl_NZ_CP043485.1_prot_WP_002292418.1_2590
