strain,lcl_NC_009641.1_prot_WP_000667269.1_90,lcl_NC_009641.1_prot_WP_000754443.1_781,lcl_NC_009641.1_prot_WP_000972781.1_1403,lcl_NC_017349.1_prot_WP_000769690.1_948
Saureus--GCA_005931015.1_Saureus_GD487,2,1,1,1
Saureus--GCA_009739695.1_Saureus_P2D1C1,2,1,1,1
Saureus--GCA_003111725.1_Saureus_SVH7513,2,1,1,1
Saureus--GCA_003193745.1_Saureus_AR_0470,2,1,1,1
Saureus--GCA_000485885.1_Saureus_Z172,2,1,1,1
Saureus--GCF_000160335.2_ASM16033v2,2,1,1,1
Saureus--GCA_001018845.2_Saureus_NRS153,2,1,1,1
Saureus--GCA_008330045.1_Saureus_VGC1,2,1,1,1
Sxylosus--GCA_003578925.1_SNUC_102,1,1,1,
Saureus--GCA_002442975.1_Saureus_HZW450,2,1,1,1
Saureus--GCA_009740205.1_Saureus_P1D5C2,2,1,1,1
Saureus--GCA_004614295.1_Saureus_C8879,2,1,1,1
Scarnosus--GCA_900458365.1_NCTC13826,2,1,1,
Saureus--GCA_002786465.1_Saureus_EDCC5458,2,1,1,1
Saureus--GCA_000967385.1_Saureus_ST228,2,1,1,1
Saureus--GCA_007185035.1_Saureus_JRA307,2,1,1,1
Saureus--GCA_000626615.3_Saureus_FDAARGOS_5,2,1,1,1
Saureus--GCA_003354985.1_Saureus_628,2,1,1,1
Saureus--GCA_004118995.1_Saureus_LAC,2,1,1,1
Saureus--GCA_001278745.1_Saureus_HOU1444-VR,2,1,1,1
Saureus--GCA_004421085.1_Saureus_04-002,2,1,1,1
Saureus--GCA_900323905.1_Saureus_24117-WT,2,1,1,1
Saureus--GCA_003193765.1_Saureus_AR_0471,2,1,1,1
Saureus--GCA_004153365.1_Saureus_VB31683,2,1,1,1
Saureus--GCA_008619795.1_Saureus_KUH140331,2,1,1,1
Saureus--GCA_003354765.1_Saureus_191,2,1,1,1
Sxylosus--GCA_001748045.1_CHJ_154,1,1,1,
Sxylosus--GCA_003041475.1_SNUC_3812,1,1,1,
Saureus--GCA_002786535.1_Saureus_EDCC5464,2,1,1,1
Saureus--GCA_000382965.1_Saureus_ST228,2,1,1,1
Saureus--GCA_003595425.1_Saureus_USA300-SUR4,2,1,1,1
Saureus--GCA_005705815.1_Saureus_Lr6,2,1,1,1
Saureus--GCA_900635255.1_Saureus_NCTC13552,2,1,1,1
Saureus--GCA_900324045.1_Saureus_24117-REV,2,1,1,1
Sxylosus--GCA_003043095.1_SNUC_4611,1,1,1,
Saureus--GCA_000737615.1_Saureus_SA268,2,1,1,1
Saureus--GCA_003354725.1_Saureus_143,2,1,1,1
Sxylosus--GCA_000953575.1_C2a,1,1,1,
Saureus--GCA_003073715.1_Saureus_AR461,2,1,1,1
Saureus--GCA_003354545.1_Saureus_27,2,1,1,1
Saureus--GCA_005707015.1_Saureus_R50,2,1,1,1
Saureus--GCA_001515685.1_Saureus_Be62,2,1,1,1
Sxylosus--GCA_003041515.1_SNUC_2570,1,1,1,
Saureus--GCA_000828035.1_Saureus_DAR4145,2,1,1,1
Saureus--GCA_002089075.2_Saureus_GD705,2,1,1,1
Sepidermidis--GCA_902509495.1_Strain_Unknown4,1,1,1,
Saureus--GCA_004772215.1_Saureus_O268,2,1,1,1
Saureus--GCA_001183725.2_Saureus_USA300_2014.C02,2,1,1,1
Saureus--GCA_004026185.1_Saureus_PCFA-221,2,1,1,1
Saureus--GCA_001594205.1_Saureus_MCRF184,2,1,1,1
Saureus--GCA_001640925.1_Saureus_NCCP14562,2,1,1,1
Saureus--GCA_000756205.1_Saureus_ATCC25923,2,1,1,1
Saureus--GCA_001956755.1_Saureus_SJTUF_J27,2,1,1,1
Saureus--GCA_900324285.1_Saureus_4_LA_208,2,1,1,1
Saureus--GCA_003342775.1_Saureus_F17SA003,2,1,1,1
Saureus--GCA_002803885.1_Saureus_55-99-44,2,1,1,1
Saureus--GCA_900607265.1_Saureus_BPH2003,2,1,1,1
Sxylosus--GCA_002836875.1_INIFAP_004-15,1,1,1,
Scarnosus--GCA_007992615.1_NBRC_109623,2,1,1,
Saureus--GCA_002310395.1_Saureus_Newman_D2C,2,1,1,1
Saureus--GCA_000967365.1_Saureus_ST228,2,1,1,1
Sxylosus--GCA_002901985.1_NCTC_11043,1,1,1,
Saureus--GCA_001045795.2_Saureus_CA12,2,1,1,1
Saureus--GCA_009684655.1_Saureus_ZY05,2,1,1,1
Sxylosus--GCA_003578725.1_SNUC_5355,1,1,1,
Sxylosus--GCA_000706685.1_HKUOPL8,1,1,1,
Sepidermidis--GCA_902509535.1_Strain_Unknown3,1,1,1,
Saureus--GCA_900474755.1_Saureus_NCTC10344,2,1,1,1
Saureus--GCA_004193875.1_Saureus_C3948,2,1,1,1
Sxylosus--GCA_003042795.1_SNUC_1397,1,1,1,
Saureus--GCA_001611345.1_Saureus_ST20130941,2,1,1,1
Saureus--GCA_000204665.1_Saureus_T0131,2,1,1,1
Saureus--GCA_003010875.1_Saureus_FORC59,2,1,1,1
Saureus--GCA_005705635.1_Saureus_R46,2,1,1,1
Saureus--GCA_003354945.1_Saureus_545,2,1,1,1
Sxylosus--GCA_900458755.1_NCTC11043,1,1,1,
Saureus--GCA_001018725.2_Saureus_FDAARGOS_10,2,1,1,1
Saureus--GCA_001549655.1_Saureus_TMUS2126,2,1,1,1
Saureus--GCA_002089055.1_Saureus_GD5,2,1,1,1
Sxylosus--GCA_003578785.1_SNUC_5003,1,1,1,
Saureus--GCA_000769575.1_Saureus_Gv69,2,1,1,1
Saureus--GCA_900323925.1_Saureus_1549-WT,2,1,1,1
Sepidermidis--GCA_900638695.1_NCTC13924,1,1,1,
Saureus--GCA_003609855.1_Saureus_JP080,2,1,1,1
Saureus--GCA_009739775.1_Saureus_P1D8C1,2,1,1,1
Saureus--GCA_005890035.1_Saureus_D592-HR,2,1,1,1
Sxylosus--GCA_900098615.1_47-83,1,1,1,
Saureus--GCA_001611425.1_Saureus_ST20130939,2,1,1,1
Saureus--GCA_002633785.1_Saureus_CFSAN007847,2,1,1,1
Saureus--GCA_002089095.2_Saureus_GD1677,2,1,1,1
Saureus--GCA_900155335.1_Saureus_NZ15MR0322,2,1,1,1
Saureus--GCA_900092595.1_Saureus_Sa_Newman_UoM,2,1,1,1
Saureus--GCA_004368035.1_Saureus_2288,2,1,1,1
Saureus--GCA_000017125.1_Saureus_JH1,2,1,1,1
Saureus--GCA_003945405.1_Saureus_TUM9458,2,1,1,1
Sepidermidis--GCA_002085695.1_Strain_1457,1,1,1,
Saureus--GCA_009739715.1_Saureus_P2D15C1,2,1,1,1
Saureus--GCA_000470865.1_Saureus_SA40,2,1,1,1
Saureus--GCA_003073755.1_Saureus_AR464,2,1,1,1
Saureus--GCA_900324065.1_Saureus_24117-SCV,2,1,1,1
Saureus--GCA_003203635.1_Saureus_AR_0228,2,1,1,1
Saureus--GCA_002000665.1_Saureus_USA300-SUR14,2,1,1,1
Saureus--GCA_900474675.1_Saureus_NCTC3761,2,1,1,1
Saureus--GCA_900636335.1_Saureus_NCTC7988,2,1,1,1
Sepidermidis--GCA_000759555.1_SEI,1,,1,
Saureus--GCA_000470845.1_Saureus_SA957,2,1,1,1
Saureus--GCA_004136235.1_Saureus_M51,2,1,1,1
Saureus--GCA_900474565.1_Saureus_NCTC8726,2,1,1,1
Saureus--GCA_000009585.1_Saureus_typestrain_ST398,2,1,1,1
Saureus--GCA_900635905.1_Saureus_NCTC13616,2,1,1,1
Saureus--GCA_001045995.2_Saureus_HUV05,2,1,1,1
Saureus--GCA_003185005.1_Saureus_IT4-R,2,1,1,1
Scarnosus--GCA_001276205.1_strain336,1,1,1,
Saureus--GCA_000024585.1_Saureus_ED98,2,1,1,1
Sxylosus--GCA_003041265.1_SNUC_5345,1,1,1,
Saureus--GCA_002633765.1_Saureus_CFSAN007835,2,1,1,1
Saureus--GCA_009739885.1_Saureus_P1D12C1,2,1,1,1
Saureus--GCA_900324345.1_Saureus_17_LA_343,2,1,1,1
Saureus--GCA_001580515.1_Saureus_UTSWMRSA55,2,1,1,2
Saureus--GCA_003354565.1_Saureus_187,2,1,1,1
Saureus--GCA_000013465.1_Saureus_USA300_FPR3757,2,1,1,1
Saureus--GCA_000418345.1_Saureus_Bmb9393,2,1,1,1
Saureus--GCA_003203675.1_Saureus_AR_0220,2,1,1,1
Saureus--GCA_003354705.1_Saureus_61,2,1,1,1
Saureus--GCA_000025145.2_Saureus_04-02981,2,1,1,1
Sxylosus--GCA_003578815.1_SNUC_3358,1,1,1,
Saureus--GCA_002088995.1_Saureus_C2406,2,1,1,1
Saureus--GCA_000382985.1_Saureus_ST228,2,1,1,1
Saureus--GCA_000245495.1_Saureus_VC40,2,1,1,1
Sepidermidis--GCA_003325735.1_CSF41498,1,1,1,
Saureus--GCA_006088835.1_Saureus_aureus,2,1,1,1
Saureus--GCA_001515705.1_Saureus_Gv88,2,1,1,1
Saureus--GCA_002214665.1_Saureus_FORC_040,2,1,1,1
Saureus--GCA_007813675.1_Saureus_13,2,1,1,1
Saureus--GCA_003426145.1_Saureus_MOZ66,2,1,1,1
Saureus--GCA_004772055.1_Saureus_O331,2,1,1,1
Saureus--GCA_006364675.1_Saureus_FDAARGOS_773,2,1,1,1
Saureus--GCA_008619235.1_Saureus_KUH140013,2,1,1,1
Saureus--GCA_001018685.2_Saureus_TCH959,2,1,1,1
Saureus--GCA_007826355.1_Saureus_NP66,2,1,1,1
Saureus--GCA_003827735.1_Saureus_ATCCBAA-39,2,1,1,1
Saureus--GCA_003203655.1_Saureus_AR_0222,2,1,1,1
Saureus--GCA_009739865.1_Saureus_P1D14C1,2,1,1,1
Saureus--GCA_001887075.1_Saureus_LA-MRSAST398,2,1,1,1
Saureus--GCA_001018655.2_Saureus_FDAARGOS_6,2,1,1,1
Saureus--GCA_004153345.1_Saureus_VB9352,2,1,1,1
Saureus--GCA_000027045.1_Saureus_TW20,2,1,1,1
Saureus--GCA_900635245.1_Saureus_NCTC13142,2,1,1,1
Saureus--GCA_009739735.1_Saureus_P1D9C1,2,1,1,1
Saureus--GCA_900475055.1_Saureus_NCTC11940,2,1,1,1
Saureus--GCA_009731595.1_Saureus_Tokyo12480,2,1,1,1
Saureus--GCA_001298325.2_Saureus_BA01611,2,1,1,1
Sepidermidis--GCA_902509515.1_Strain_Unknown1,1,1,1,
Saureus--GCA_003354905.1_Saureus_78,2,1,1,1
Saureus--GCA_003944865.1_Saureus_80wphwpl,2,1,1,1
Saureus--GCA_004771975.1_Saureus_O408,2,1,1,1
Saureus--GCA_003193965.1_Saureus_AR_0225,2,1,1,1
Sepidermidis--GCA_006094375.1_ATCC_14990,1,1,1,
Saureus--GCA_900324245.1_Saureus_8_LA_272,2,1,1,1
Scarnosus--GCA_007992595.1_NBRC_109622,1,1,1,
Saureus--GCA_002097595.2_Saureus_M92,2,1,1,1
Saureus--GCA_001641025.1_Saureus_V521,2,1,1,1
Saureus--GCA_005889995.1_Saureus_J01,2,1,1,1
Saureus--GCA_001558795.2_Saureus_FDAARGOS_159,2,1,1,1
Sepidermidis--GCA_002215535.1_ATCC_12228,1,1,1,
Saureus--GCA_003264775.1_Saureus_CMRSA-3,2,1,1,1
Saureus--GCA_000009645.1_Saureus_N315,2,1,1,1
Saureus--GCA_004136255.1_Saureus_M48,1,1,1,1
Saureus--GCA_000013425.1_Saureus_NCTC8325,2,1,1,
Saureus--GCA_003030085.1_Saureus_CFSAN064037,2,1,1,1
Saureus--GCA_001018735.2_Saureus_NRS137,2,1,1,1
Saureus--GCA_003425835.1_Saureus_28,2,1,1,1
Saureus--GCA_001611385.1_Saureus_ST20130943,2,1,1,1
Saureus--GCA_004193895.1_Saureus_H489,2,1,1,1
Saureus--GCA_008619075.1_Saureus_KUN1163,2,1,1,1
Saureus--GCA_008370815.1_Saureus_16445,3,1,1,1
Saureus--GCA_003203615.1_Saureus_AR_0468,2,1,1,1
Scarnosus--GCA_002902605.1_DSM_11676,2,1,1,
