seq_id,locus_tag,origin,strand,start,end,gene,pseudo,prot_id,prot_name,annot
lcl_NZ_CP013994.1_prot_WP_002296026.1_2637 ,AWJ25_RS13730,NZ_CP013994.1,-,2767740,2768981,n.a,false,WP_002296026.1,"competence/damage_inducible protein A","n.a"
lcl_NZ_CP013994.1_prot_WP_002288715.1_82 ,AWJ25_RS00410,NZ_CP013994.1,+,74695,75633,n.a,false,WP_002288715.1,"DNA_directed RNA polymerase subunit alpha","n.a"
lcl_NZ_CP013994.1_prot_WP_002305425.1_2196 ,AWJ25_RS11335,NZ_CP013994.1,-,2251754,2252617,n.a,false,WP_002305425.1,"carbohydrate ABC transporter permease","n.a"
lcl_NZ_CP013994.1_prot_WP_002287995.1_1493 ,AWJ25_RS07655,NZ_CP013994.1,-,1534353,1535879,n.a,false,WP_002287995.1,"sugar ABC transporter ATP_binding protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002286457.1_1795 ,AWJ25_RS09285,NZ_CP013994.1,-,1866403,1867542,n.a,false,WP_002286457.1,"undecaprenyl/decaprenyl_phosphate alpha_N_acetylglucosaminyl 1_phosphate transferase","n.a"
lcl_NZ_CP013995.1_prot_WP_002296241.1_3156 ,AWJ25_RS16420,NZ_CP013995.1,-,314677,315162,ssb,false,WP_002296241.1,"single_stranded DNA_binding protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002288523.1_1008 ,AWJ25_RS05220,NZ_CP013994.1,+,1033411,1034262,n.a,false,WP_002288523.1,"sugar transporter","n.a"
lcl_NZ_CP013994.1_prot_WP_002290330.1_2008 ,AWJ25_RS10385,NZ_CP013994.1,-,2041655,2041918,n.a,false,WP_002290330.1,"type B 50S ribosomal protein L31","n.a"
lcl_NZ_CP013994.1_prot_WP_002296449.1_605 ,AWJ25_RS03115,NZ_CP013994.1,+,627537,628508,n.a,false,WP_002296449.1,"ornithine cyclodeaminase family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002289532.1_1017 ,AWJ25_RS05265,NZ_CP013994.1,+,1041084,1042127,hrcA,false,WP_002289532.1,"heat_inducible transcriptional repressor HrcA","n.a"
lcl_NZ_CP013994.1_prot_WP_002289147.1_1747 ,AWJ25_RS09045,NZ_CP013994.1,+,1813231,1814034,n.a,false,WP_002289147.1,"DUF1189 domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002288499.1_996 ,AWJ25_RS05165,NZ_CP013994.1,+,1020294,1020767,rimP,false,WP_002288499.1,"ribosome maturation factor RimP","n.a"
lcl_NZ_CP013994.1_prot_WP_002288695.1_78 ,AWJ25_RS00390,NZ_CP013994.1,+,73448,73666,infA,false,WP_002288695.1,"translation initiation factor IF_1","n.a"
lcl_NZ_CP013994.1_prot_WP_002287694.1_2142 ,AWJ25_RS11065,NZ_CP013994.1,-,2189729,2192356,n.a,false,WP_002287694.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287679.1_2152 ,AWJ25_RS11115,NZ_CP013994.1,-,2200671,2201444,sufC,false,WP_002287679.1,"Fe_S cluster assembly ATPase SufC","n.a"
lcl_NZ_CP013994.1_prot_WP_002288087.1_1983 ,AWJ25_RS10260,NZ_CP013994.1,-,2016198,2018240,n.a,false,WP_002288087.1,"ABC transporter permease","n.a"
lcl_NZ_CP013994.1_prot_WP_002317474.1_487 ,AWJ25_RS02500,NZ_CP013994.1,+,513108,513425,n.a,false,WP_002317474.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287441.1_2647 ,AWJ25_RS13780,NZ_CP013994.1,-,2777077,2777937,rlmB,false,WP_002287441.1,"23S rRNA (guanosine(2251)_2'_O)_methyltransferase RlmB","n.a"
lcl_NZ_CP013995.1_prot_WP_016922464.1_2970 ,AWJ25_RS15485,NZ_CP013995.1,-,150032,151249,n.a,false,WP_016922464.1,"restriction endonuclease subunit S","n.a"
lcl_NZ_CP013995.1_prot_WP_002322555.1_3004 ,AWJ25_RS15670,NZ_CP013995.1,-,182273,183139,n.a,false,WP_002322555.1,"sugar ABC transporter permease","n.a"
lcl_NZ_CP013995.1_prot_WP_010729784.1_3187 ,AWJ25_RS16580,NZ_CP013995.1,-,350367,352343,n.a,false,WP_010729784.1,"isopeptide_forming domain_containing fimbrial protein","n.a"
