strain,lcl_NC_009641.1_prot_WP_000977774.1_49,lcl_NC_009641.1_prot_WP_000667269.1_90,lcl_NC_009641.1_prot_227,lcl_NC_009641.1_prot_WP_000142049.1_249,lcl_NC_009641.1_prot_WP_000208414.1_250,lcl_NC_009641.1_prot_WP_000337827.1_288,lcl_NC_009641.1_prot_WP_000392183.1_289,lcl_NC_009641.1_prot_WP_000066021.1_298,lcl_NC_009641.1_prot_WP_000291089.1_299,lcl_NC_009641.1_prot_WP_000815401.1_300,lcl_NC_009641.1_prot_WP_000134097.1_301,lcl_NC_009641.1_prot_WP_000704705.1_302,lcl_NC_009641.1_prot_WP_001199439.1_303,lcl_NC_009641.1_prot_WP_000371250.1_304,lcl_NC_009641.1_prot_WP_000190223.1_305,lcl_NC_009641.1_prot_WP_000803062.1_306,lcl_NC_009641.1_prot_WP_000256597.1_307,lcl_NC_009641.1_prot_WP_001123684.1_308,lcl_NC_009641.1_prot_WP_000401950.1_309,lcl_NC_009641.1_prot_WP_001187264.1_310,lcl_NC_009641.1_prot_WP_000117792.1_311,lcl_NC_009641.1_prot_WP_000022735.1_312,lcl_NC_009641.1_prot_WP_012068339.1_313,lcl_NC_009641.1_prot_WP_000695747.1_314,lcl_NC_009641.1_prot_WP_000983954.1_315,lcl_NC_009641.1_prot_WP_000982708.1_316,lcl_NC_009641.1_prot_WP_001105621.1_317,lcl_NC_009641.1_prot_WP_001065083.1_318,lcl_NC_009641.1_prot_WP_000185669.1_319,lcl_NC_009641.1_prot_WP_000195799.1_320,lcl_NC_009641.1_prot_WP_031765538.1_324,lcl_NC_009641.1_prot_WP_000595257.1_325,lcl_NC_009641.1_prot_WP_000323259.1_344,lcl_NC_009641.1_prot_WP_000634521.1_345,lcl_NC_009641.1_prot_WP_000705895.1_346,lcl_NC_009641.1_prot_WP_000782200.1_347,lcl_NC_009641.1_prot_WP_000466778.1_348,lcl_NC_009641.1_prot_WP_000524021.1_349,lcl_NC_009641.1_prot_WP_000276627.1_350,lcl_NC_009641.1_prot_WP_000398878.1_351,lcl_NC_009641.1_prot_WP_000339146.1_352,lcl_NC_009641.1_prot_WP_000930256.1_353,lcl_NC_009641.1_prot_354,lcl_NC_009641.1_prot_WP_000028628.1_448,lcl_NC_009641.1_prot_WP_014373780.1_470,lcl_NC_009641.1_prot_WP_000882085.1_631,lcl_NC_009641.1_prot_WP_000395457.1_1100,lcl_NC_009641.1_prot_WP_000291474.1_1103,lcl_NC_009641.1_prot_WP_000195823.1_1124,lcl_NC_009641.1_prot_WP_001125015.1_1125,lcl_NC_009641.1_prot_WP_000990005.1_1127,lcl_NC_009641.1_prot_WP_000162700.1_1128,lcl_NC_009641.1_prot_WP_001003272.1_1129,lcl_NC_009641.1_prot_WP_000169946.1_1130,lcl_NC_009641.1_prot_WP_000921879.1_1131,lcl_NC_009641.1_prot_WP_001133041.1_1132,lcl_NC_009641.1_prot_WP_000072207.1_1133,lcl_NC_009641.1_prot_WP_000354307.1_1134,lcl_NC_009641.1_prot_WP_000438504.1_1135,lcl_NC_009641.1_prot_WP_001114085.1_1136,lcl_NC_009641.1_prot_WP_000208960.1_1137,lcl_NC_009641.1_prot_WP_001268314.1_1138,lcl_NC_009641.1_prot_WP_001017815.1_1139,lcl_NC_009641.1_prot_WP_000188650.1_1140,lcl_NC_009641.1_prot_WP_000002578.1_1141,lcl_NC_009641.1_prot_WP_001100161.1_1142,lcl_NC_009641.1_prot_WP_000105584.1_1143,lcl_NC_009641.1_prot_WP_000141464.1_1144,lcl_NC_009641.1_prot_WP_000350684.1_1145,lcl_NC_009641.1_prot_WP_000156406.1_1146,lcl_NC_009641.1_prot_1228,lcl_NC_009641.1_prot_WP_001265708.1_1383,lcl_NC_009641.1_prot_1747,lcl_NC_009641.1_prot_WP_001038688.1_1875,lcl_NC_009641.1_prot_WP_000416756.1_1891,lcl_NC_009641.1_prot_WP_001808146.1_1935,lcl_NC_009641.1_prot_WP_001148638.1_2014,lcl_NC_009641.1_prot_WP_000672038.1_2898
GCA_003193745.1_Saureus_AR_0470,1,2,,1,,,,2,,,1,1,1,,1,1,1,1,1,,,1,2,,,,,2,,,,1,1,,1,1,1,1,1,1,,,,2,,,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,,,2,1
GCA_003073775.1_Saureus_AR462,2,2,,2,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,9,,1
GCA_000159535.2_Saureus_TCH60,1,2,,1,,,,1,,,,,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,1
GCA_003031425.1_Saureus_CFSAN007896,,2,,,,,,1,,,1,1,1,,,1,1,1,,1,,1,2,,,,,2,,,,,,,,,1,,,,1,1,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1
GCA_009176765.1_Saureus_KG-03,2,2,,2,1,,,2,1,1,1,1,1,1,,1,1,1,1,,,2,3,,,,,3,1,1,1,1,1,1,1,1,2,,1,1,1,1,,2,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,11,1,1
GCA_005706855.1_Saureus_Lr2,,2,,,,,,1,1,1,1,1,,,,1,1,1,,1,1,,1,,,,,1,,,1,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2
GCA_004785995.1_Saureus_WCUH29,2,2,,2,1,1,1,3,1,1,,1,1,,,1,1,2,,1,,2,3,,,,,3,1,1,,2,2,2,2,2,3,1,2,2,1,1,,2,,1,,1,2,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,7,1,1
GCA_003595505.1_Saureus_USA300-SUR8,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,1,2,2,1,2
GCA_001278745.1_Saureus_HOU1444-VR,2,2,,1,1,,,1,,2,,2,1,,,1,1,1,1,1,,2,2,,,,,2,,,,,,,,,,,,,2,2,2,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,8,1,1
GCA_006364775.1_Saureus_FDAARGOS_766,2,2,2,1,2,,,3,,,,,,,,,,1,1,,,2,3,,,,,3,,1,1,2,1,1,1,1,1,,1,1,1,1,1,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,6,2,2
GCA_008329885.1_Saureus_CFSAN082781,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_001975045.1_Saureus_UCI28,2,2,,2,1,,,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,,,,,2,,,1,1,1,1,1,1,,,1,1,,,,2,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,7,1,1
GCA_900635095.1_Saureus_NCTC8317,2,2,2,,1,,,1,,,,1,1,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,1
GCA_001307235.1_Saureus_JS395,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,2
GCA_005885975.1_Saureus_Col52-A5,2,2,2,2,2,,,1,,,,,,,,,,,1,,,1,1,,,,,2,1,2,1,,,,,,1,,,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,2,2,1,2
